[0816/193058:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/165440:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/172212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/172417:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/172952:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/204834:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/205044:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/210507:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/210547:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/213552:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/224024:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/231926:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/234724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/001257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/001407:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/114637:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/145927:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/152011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/152221:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/153019:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/160101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/160210:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/161154:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/161701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/162138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/162346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/163257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/163415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/175541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/183411:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/185444:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/190023:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/190222:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/193025:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/193136:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/193350:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/193722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/193815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/194234:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/194459:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/194820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/195755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/200030:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/202113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/202351:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/203004:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/203726:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/204300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/204706:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/204923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/205055:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/205222:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/205945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/210239:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/210442:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/213506:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/213946:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/214105:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/223431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/223519:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0914/223740:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/000751:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/001252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/001552:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/001732:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/002300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/002921:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0915/003754:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/135044:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/135123:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/155212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/155344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/160059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/160205:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/160312:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/160453:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/161300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/161821:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/162536:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/171150:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/171425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/171530:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/173220:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0919/175502:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0920/011649:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0920/012133:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0920/191522:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0920/192313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0920/192712:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/134201:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/223605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/224552:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/225022:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/225425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/231019:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/195227:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/161752:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/164157:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/164617:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/165217:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/165734:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/170421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/171839:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/172923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/173433:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/173640:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/173708:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/181652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/181919:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/182104:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/183105:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/183426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/184142:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/184758:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/185226:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/191953:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/192234:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/193613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/223114:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/223313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/223902:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/224023:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/224251:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/225140:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/225435:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/232205:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/232243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/233309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/233404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/234558:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0929/234600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/005556:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/010324:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/010409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/010440:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/011314:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/011729:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/012002:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/012557:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/012959:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/013302:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/013603:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/014343:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/014816:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/015023:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/015402:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/015739:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/020038:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/020456:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/020856:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/034430:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/042900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/093808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/094017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/094129:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/094407:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/103017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/103600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/105154:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/105626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/114519:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/115311:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/120804:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/133741:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/151818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/152131:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/153702:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/154205:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0930/161459:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1003/134029:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1003/185130:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1003/185546:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/150943:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/151220:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/151447:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/151749:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/151944:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/153038:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/153148:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/160954:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/161252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/175849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/180448:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/181416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/182118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/202220:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/203036:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/203149:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/203150:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/203159:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/203200:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1004/203207:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/145931:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/150601:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/150832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/162841:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/163200:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/202643:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/212636:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/212943:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/213129:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/213613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/213757:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/130113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/130742:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/131424:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/190110:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/190619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/190818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/191425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/194436:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/204646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/205054:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/210118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/210421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/210636:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1006/210801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/184801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/185354:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/185926:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/190437:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/201307:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/201744:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/201846:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/202014:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/202213:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/202717:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/202859:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/204508:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/204553:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/205109:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/205621:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/205703:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/205909:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/210404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/210946:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/211353:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/212719:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/214323:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/214448:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/215513:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/215956:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/221012:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/221555:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/222727:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/222834:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/225247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125756:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125758:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125802:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125802:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125804:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125804:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125804:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/125828:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/130010:ERROR:file_io.cc(30)] read: expected 4, observed 0
